,bonus,exercised_stock_options,expenses,from_messages,from_poi_to_this_person,from_this_person_to_poi,long_term_incentive,other,restricted_stock,salary,shared_receipt_with_poi,to_messages,total_payments,total_stock_value,bonus_ratio,expenses_ratio,other_ratio,salary_ratio,to_poi_ratio,from_poi_ratio,stock_to_salary
0,1750000.0,19794175.0,46950.0,18.0,42.0,4.0,1617011.0,174839.0,2748364.0,420636.0,864.0,905.0,505050.0,22542539.0,3.465003465003465,0.09296109296109296,0.3461815661815662,0.8328601128601129,0.04640883977900553,0.2222222222222222,53.591558972603394
1,5600000.0,19250000.0,29336.0,108.0,88.0,30.0,1920000.0,22122.0,6843672.0,1111258.0,2042.0,3627.0,8682716.0,26093672.0,0.6449594804206426,0.003378666306717852,0.002547820290333117,0.12798506826665756,0.0242624758753791,0.2777777777777778,23.481200585282625
2,200000.0,1624396.0,22884.0,39.0,13.0,14.0,0.0,1573324.0,869220.0,211844.0,91.0,225.0,2003885.0,2493616.0,0.09980612659908128,0.011419817005466881,0.7851368716268649,0.10571664541627888,0.057777777777777775,0.358974358974359,11.771001302845491
3,800000.0,0.0,118134.0,0.0,0.0,0.0,602671.0,907502.0,985032.0,224305.0,0.0,0.0,2652612.0,985032.0,0.30158952760524343,0.04453497156764728,0.34211637435101705,0.08456004873686766,0.0,0.0,4.391484808631105
4,1250000.0,0.0,35818.0,144.0,199.0,25.0,375304.0,486.0,126027.0,240189.0,2188.0,2598.0,1639297.0,126027.0,0.7625219835087845,0.021849609924254117,0.00029646854718821546,0.14651951415759315,0.07659738260200154,0.1736111111111111,0.5246992993017998
5,0.0,30766064.0,77978.0,0.0,0.0,0.0,0.0,2856.0,0.0,0.0,0.0,0.0,91093.0,30766064.0,0.0,0.8560262588782892,0.03135257374331727,0.0,0.0,0.0,0.0
6,0.0,8308552.0,53947.0,0.0,0.0,0.0,0.0,147950.0,3576206.0,158403.0,0.0,0.0,360300.0,11884758.0,0.0,0.14972800444074383,0.4106300305301138,0.4396419650291424,0.0,0.0,75.02861688225602
7,1200000.0,0.0,16514.0,40.0,240.0,11.0,0.0,101740.0,698242.0,288542.0,1132.0,1758.0,1490344.0,698242.0,0.8051832328643588,0.011080663256268351,0.06826611842634989,0.19360765031428986,0.13651877133105803,0.275,2.4198972766529656
8,7000000.0,34348384.0,99832.0,36.0,123.0,16.0,3600000.0,10359729.0,14761694.0,1072321.0,2411.0,4273.0,103559793.0,49110078.0,0.06759380061719514,0.0009640034718879749,0.10003620806773919,0.010354607410233042,0.028785396676807865,0.4444444444444444,45.79792618068657
9,600000.0,384728.0,125978.0,16.0,52.0,6.0,71023.0,200308.0,393818.0,274975.0,874.0,873.0,1272284.0,778546.0,0.4715928204709012,0.09901720056213864,0.1574396911381421,0.21612705968164342,0.05956471935853379,0.375,2.8313337576143285
