,bonus,exercised_stock_options,expenses,from_messages,from_poi_to_this_person,from_this_person_to_poi,long_term_incentive,other,restricted_stock,salary,shared_receipt_with_poi,to_messages,total_payments,total_stock_value,bonus_ratio,expenses_ratio,other_ratio,salary_ratio,to_poi_ratio,from_poi_ratio,stock_to_salary
0,1.0,0.9682362167983571,0.75,0.25,0.75,0.5,1.0,0.75,0.8981659999984153,1.0,0.75,0.5,0.7115657142519412,0.956031688811858,1.0,1.0,1.0,1.0,0.75,0.75,1.0
1,1.0,0.9666296852738641,0.5,0.75,0.75,1.0,1.0,0.5,0.9534327473943013,1.0,1.0,1.0,0.8656881030162767,0.9642921175120889,1.0,0.25,0.5,0.5,0.5,1.0,1.0
2,0.25,0.8241466803423,0.5,0.5,0.5,0.75,0.0,1.0,0.8284303745059763,0.5,0.25,0.25,0.7862411352729002,0.8317108091193254,0.25,0.25,1.0,0.5,1.0,1.0,0.75
3,0.75,0.0,1.0,0.0,0.0,0.0,0.75,1.0,0.8360073779767346,0.5,0.0,0.0,0.8014373894702811,0.779263790442905,0.25,0.75,1.0,0.25,0.0,0.0,0.5
4,1.0,0.0,0.5,0.75,1.0,0.75,0.5,0.25,0.7114479181538232,0.5,1.0,0.75,0.7753599098403059,0.6631587423845564,1.0,0.5,0.25,0.5,1.0,0.75,0.25
5,0.0,0.9936524729969188,1.0,0.0,0.0,0.0,0.0,0.5,0.0,0.0,0.0,0.0,0.6187612575424952,0.9735932682811471,0.0,1.0,0.5,0.0,0.0,0.0,0.0
6,0.0,0.9182074589025006,0.75,0.0,0.0,0.0,0.0,0.75,0.9141160720935407,0.25,0.0,0.0,0.6932667411392562,0.9198847246179682,0.0,1.0,1.0,1.0,0.0,0.0,1.0
7,1.0,0.0,0.25,0.5,1.0,0.75,0.0,0.75,0.8151618834918526,0.75,0.75,0.75,0.7701983243937005,0.7598331735920594,1.0,0.25,0.75,0.75,1.0,1.0,0.25
8,1.0,1.0,1.0,0.5,1.0,0.75,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.25,0.25,0.75,0.25,0.75,1.0,1.0
9,0.5,0.7411391125284442,1.0,0.25,0.75,0.5,0.25,0.75,0.780470127393409,0.75,0.75,0.5,0.7616267998465795,0.7659802540947386,0.5,1.0,0.75,0.75,1.0,1.0,0.5
10,0.5,0.7732580087660789,1.0,0.75,0.75,0.75,0.5,0.75,0.8503570565484899,1.0,1.0,0.75,0.7736175291734133,0.8169515663434386,0.5,0.75,0.75,0.75,0.5,0.75,0.75
11,0.5,0.8245300526284993,0.5,0.75,0.75,1.0,0.0,0.5,0.7605913201511653,0.5,0.75,0.75,0.7536985043703924,0.816917206360488,0.75,0.5,0.5,0.75,0.75,1.0,0.75
12,1.0,0.0,0.75,0.0,0.0,0.0,1.0,0.75,0.872339736356185,1.0,0.0,0.0,0.7965558803725269,0.8131301079567779,0.75,0.5,0.75,0.75,0.0,0.0,0.5
13,0.5,0.7484169688190355,0.0,0.0,0.0,0.0,0.5,1.0,0.7873381010824163,0.75,0.0,0.0,0.789978260607796,0.772743557087452,0.25,0.0,1.0,0.5,0.0,0.0,0.5
14,1.0,0.8277612335128052,0.25,1.0,0.75,1.0,0.5,0.25,0.7114479181538232,0.25,0.75,1.0,0.8298876920870331,0.8110509323863625,1.0,0.25,0.25,0.25,0.5,0.5,0.75
15,0.75,0.7807739914099597,1.0,0.25,0.5,0.5,0.75,0.25,0.7360103275513566,0.5,1.0,0.75,0.7865364109342841,0.7774772188401001,0.5,0.75,0.25,0.5,0.5,0.75,0.5
16,0.5,0.6529170382886098,0.75,0.0,0.0,0.0,0.0,0.75,0.7492887262497072,0.25,0.0,0.0,0.7429049487707609,0.7155291358333791,0.75,0.75,0.75,0.75,0.0,0.0,0.25
17,0.0,0.6825222722742582,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.668743960082944,0.0,0.0,0.0,0.0,0.0,0.0,0.0
18,0.25,0.0,0.5,0.0,0.0,0.0,0.25,0.25,0.7417825466215536,0.25,0.0,0.0,0.7370239981628447,0.6914344229397329,0.5,0.5,0.5,0.75,0.0,0.0,0.25
19,0.75,0.0,0.0,0.75,0.75,0.75,1.0,0.5,0.7751199066851003,0.75,1.0,1.0,0.8016741470878356,0.7225090261679383,0.5,0.0,0.5,0.5,0.5,0.75,0.25
20,0.0,0.8822564135657062,0.75,0.5,0.25,0.25,0.25,1.0,0.7759197846113527,0.5,0.25,0.25,0.7435549100404154,0.8688987432420828,0.0,0.75,1.0,0.75,0.25,0.25,1.0
21,0.0,0.891933672711002,0.25,0.0,0.0,0.0,0.25,0.25,0.8801404271712946,0.25,0.0,0.0,0.6734176953401189,0.8924225969894878,0.0,0.75,0.25,1.0,0.0,0.0,1.0
22,0.5,0.785134317074202,0.25,0.75,0.25,0.25,0.5,0.5,0.7360103275513566,0.5,0.25,0.5,0.7514609797594132,0.7809285356780774,0.75,0.25,0.5,0.75,0.25,0.25,0.5
23,0.0,0.7801674878202554,0.0,0.25,0.75,0.5,0.0,0.0,0.8327889684726275,0.0,0.75,0.5,0.0,0.8097906222966044,0.0,0.0,0.0,0.0,1.0,0.75,0.0
24,0.0,0.7715260895751632,0.0,0.25,0.25,0.25,0.0,0.0,0.7793079949061787,0.0,0.25,0.5,0.0,0.7822313995318108,0.0,0.0,0.0,0.0,0.5,0.25,0.0
25,0.0,0.8285628333153323,0.0,0.0,0.0,0.0,0.0,0.0,0.7562454924414858,0.0,0.0,0.0,0.0,0.8176908958752636,0.0,0.0,0.0,0.0,0.0,0.0,0.0
