,bonus,deferral_payments,deferred_income,director_fees,exercised_stock_options,expenses,from_messages,from_poi_to_this_person,from_this_person_to_poi,long_term_incentive,other,restricted_stock,restricted_stock_deferred,salary,shared_receipt_with_poi,to_messages,total_payments,total_stock_value,bonus_ratio,expenses_ratio,other_ratio,salary_ratio,to_poi_ratio,from_poi_ratio,
0,0.904383147,0,1,0,0.968236217,0.87167511,0.307582969,0.599777875,0.267303051,0.925096523,0.747310108,0.898166,0,0.930214901,0.80336195,0.707377108,0.711565714,0.956031689,1,0.092961093,0.346181566,0.878590471,0.288138362,0.222222222,
1,0.977560493,0,0,0,0.966629685,0.833568304,0.490069151,0.715778129,0.570332816,0.936210145,0.61933403,0.953432747,0,1,0.905457632,0.851510985,0.865688103,0.964292118,0.186135306,0.003378666,0.00254782,0.135012422,0.150638328,0.277777778,
2,0.767921632,0,1,0,0.82414668,0.813441978,0.385348959,0.420835943,0.44976577,0,0.883322974,0.828430375,0,0.880942927,0.53715484,0.563128247,0.786241135,0.831710809,0.028804048,0.011419817,0.785136872,0.111521294,0.358724638,0.358974359,
3,0.855137409,0,0,0,0,0.946447409,0,0,0,0.861230441,0.849259039,0.836007378,0,0.885048688,0,0,0.801437389,0.77926379,0.087038738,0.044534972,0.342116374,0.089203039,0,0,
4,0.883214665,0,1,0,0,0.849745107,0.519881224,0.8448935,0.541120064,0.830581696,0.383092727,0.711447918,0,0.889963498,0.913657348,0.816858664,0.77535991,0.663158742,0.220063844,0.02184961,0.000296469,0.154564551,0.475569836,0.173611111,
5,0,1,0,0,0.993652473,0.912786675,0,0,0,0,0.492621325,0,0,0,0,0,0.618761258,0.973593268,0,0.856026259,0.031352574,0,0,0,
6,0,0,0,0,0.918207459,0.882932087,0,0,0,0,0.736972362,0.914116072,0,0.860060371,0,0,0.693266741,0.919884725,0,0.149728004,0.410630031,0.463781655,0,0,
7,0.880646431,1,1,0,0,0.787007552,0.387928407,0.87463037,0.412705035,0,0.713791488,0.815161883,0,0.903138829,0.835423438,0.776302754,0.770198324,0.759833174,0.232375881,0.011080663,0.068266118,0.204238184,0.847603502,0.275,
8,0.991599133,1,1,0,1,0.932806958,0.377204914,0.768663763,0.470553456,0.976887242,1,1,0,0.997437885,0.925181587,0.86853496,1,1,0.019507571,0.000964003,0.100036208,0.010923154,0.178719767,0.444444444,
9,0.837038477,0,0,0,0.741139113,0.951656879,0.29596408,0.633120593,0.32318595,0.722857996,0.755728744,0.780470127,0,0.899679287,0.804727396,0.703641408,0.7616268,0.765980254,0.136101688,0.099017201,0.157439691,0.22799408,0.369819214,0.375,
10,0.846736552,0,0,0,0.773258009,0.952322462,0.431130092,0.636101324,0.460484632,0.816089738,0.738012975,0.850357057,0,0.908279061,0.918078294,0.807495315,0.773617529,0.816951566,0.127263026,0.08001469,0.09478141,0.205972073,0.138610307,0.245901639,
11,0.846736552,1,1,0,0.824530053,0.843767829,0.461602405,0.571444036,0.646371899,0,0.469008389,0.76059132,0,0.892609394,0.847949968,0.747181021,0.753698504,0.816917206,0.183804931,0.030271131,0.001774179,0.239181177,0.163632792,0.585365854,
12,0.885682158,0,1,0,0,0.885844238,0,0,0,0.929693236,0.775899908,0.872339736,0,0.933561777,0,0,0.79655588,0.813130108,0.154771928,0.02306893,0.114461427,0.191782078,0,0,
13,0.851077098,0,0,0,0.748416969,0,0,0,0,0.817117957,0.842928498,0.787338101,0,0.8991299,0,0,0.789978261,0.772743557,0.100816359,0,0.381601445,0.134078625,0,0,
14,0.959085937,1,1,0,0.827761234,0.772857907,0.803774234,0.617319112,0.695837651,0.817117957,0.311415955,0.711447918,1,0.877508906,0.861237213,0.828350534,0.829887692,0.811050932,0.268685602,0.003092469,3.39E-05,0.04750733,0.10055434,0.029612756,
15,0.858951484,0,0,0,0.780773991,0.919015157,0.282889246,0.519550717,0.182462719,0.882081927,0.347261817,0.736010328,0,0.892420338,0.920919739,0.811821927,0.786536411,0.777477219,0.121751905,0.041793993,0.000134999,0.130131285,0.062714097,0.142857143,
16,0.826797894,1,1,0,0.652917038,0.876904839,0,0,0,0,0.696178371,0.749288726,0,0.873880747,0,0,0.742904949,0.715529136,0.163392108,0.055608299,0.084996974,0.224910142,0,0,
17,0,0,0,0,0.682522272,0,0,0,0,0,0,0,0,0,0,0,0,0.66874396,0,0,0,0,0,0,
18,0.79846629,0,0,0,0,0.811506951,0,0,0,0.810459273,0.406779255,0.741782547,0,0.871170662,0,0,0.737023998,0.691434423,0.116089242,0.027654971,0.000882474,0.241413347,0,0,
19,0.869176035,0,0,0,0,0,0.434446635,0.672861663,0.44976577,0.91518632,0.497354394,0.775119907,0,0.899357507,0.937386948,0.825447433,0.801674147,0.722509026,0.108324062,0,0.001157183,0.1083904,0.147407019,0.222222222,
20,0,1,0,0,0.882256414,0.870273684,0.390445693,0,0,0.789852298,0.802533394,0.775919785,0,0.88433678,0.51129091,0.580447787,0.74355491,0.868898743,0,0.050627953,0.468075699,0.257048466,0,0,
21,0,0,0,0,0.891933673,0.797659337,0,0,0,0.764818247,0.320436438,0.880140427,0,0.823289852,0,0,0.673417695,0.892422597,0,0.075400241,0.0007046,0.400957549,0,0,
22,0.825568092,0,0,0,0.785134317,0.518505963,0.505209298,0,0,0.817117957,0.439740606,0.736010328,0,0.892267286,0.37752915,0.726489978,0.75146098,0.780928536,0.136824329,0.000568916,0.001152055,0.248080639,0,0,
23,0,0,0,0,0.780167488,0,0.275682089,0.63902736,0.115121158,0,0,0.832788968,0,0,0.781730968,0.706108055,0,0.809790622,0,0,0,0,0.375021885,0.076923077,
24,0,0,0,0,0.77152609,0,0.267940597,0.382379157,0,0,0,0.779307995,0,0,0.484381111,0.689803062,0,0.7822314,0,0,0,0,0.08126565,0,
25,0,0,0,0,0.828562833,0,0,0,0,0,0,0.756245492,1,0,0,0,0,0.817690896,0,0,0,0,0,0,
26,0.940355956,0,0,0,0.651376928,0.701862267,0.778797883,0.881747614,0.875764675,0,0.708843741,0.790678373,0,0.898750356,0.975043028,0.937561019,0.816009529,0.746063495,0.257742339,0.00166343,0.027058826,0.082493402,0.187643902,0.112268519,
27,0,0,1,1,0,0,0.344290813,0,0,0,0,0,0,0,0.3046969,0.673516707,0,0,0,0,0,0,0,0,
28,0.701874699,0,0,0,0,0.830264579,0.282889246,0.382379157,0.230242316,0,0.41185434,0,0,0.883983363,0.563662634,0.537739564,0.686829688,0,0.063142892,0.08802873,0.002419196,0.72868981,0.352766798,0.214285714,
29,0.811529481,0,0,0,0.786823017,0.918413415,1,0.596025596,0.854920198,0.820963114,0.523041288,0.711447918,0,0.899712195,0.756696844,0.87635188,0.753089763,0.778745787,0.106218043,0.076907789,0.004296016,0.26702294,0.055254292,0.011901448,
30,0,0,0,0,0.662747191,0,0,0,0,0,0,0,0,0,0,0,0,0.649368085,0,0,0,0,0,0,
31,0.781960211,0,1,0,0,0.890427394,0.427704791,0.256648203,0,0.783124293,0.802633001,0.811680787,0,0.872335605,0.64805156,0.618200032,0.722576164,0.756588355,0.116587218,0.09562091,0.690500121,0.320336669,0.064842774,0,
32,0.851077098,0,0,0,0.817675734,0.82311343,0.267940597,0.745150288,0.230242316,0.900472099,0.455518777,0.736010328,0,0.880551233,0.759907649,0.707262378,0.78860552,0.808080502,0.103403156,0.012318089,0.00074907,0.106179011,0.728010773,0.25,
33,1,0,0,0,0.878326802,0.876021431,0.820851189,1,1,0.939986433,0.454884242,0.83741262,0,0.914776505,0.984167443,0.923577876,0.875600779,0.872851607,0.221451545,0.004751406,0.000148862,0.03433012,0.451603706,0.158994197,
34,0.837038477,0,0,0,0.562642979,0.86192218,0.451014887,0.758028857,0.267303051,0.82329769,0.628259441,0.718605448,0,0.878975637,0.750217543,0.682780934,0.758846598,0.676356831,0.1432674,0.034440106,0.021141787,0.179902198,1,0.054054054,
35,0,0,1,1,0,0.999962089,0,0,0,0,0,0,0,0,0,0,0.668628406,0,0,1,0,0,0,0,
36,0.837038477,0,0,0,0.821445628,0.660724691,0.434446635,0.912708605,0.44976577,0.856063038,0.381417739,0.766955111,0,0.89286807,0.897024818,0.815814152,0.76721343,0.81531143,0.12276811,0.002463728,0.000335351,0.187053617,0.736256677,0.222222222,
37,0,0,0,0,0.912376577,0.777518262,0.564376291,0.848831095,0.64972726,0,0,0.778510923,0,0.824712471,0.827959275,0.771033043,0.629728174,0.896754892,0,0.131705655,0,0.915970312,0.757973616,0.221719457,
38,0,0,1,1,0,0.829623325,0,0,0,0,0,0,0,0,0,0,0.554730752,0,0,1,0,0,0,0,
39,0,0,0,0,0,0,0.727884061,0.571444036,0.608461624,0,0,0.772744243,0,0,0.754230473,0.818877507,0,0.720294609,0,0,0,0,0.082032596,0.035815269,
40,0,1,0,0,0.823261667,0,0,0,0,0.740823009,0.419367346,0,0,0.811720709,0,0,0.740414982,0.8066422,0,0,0.001016118,0.099118655,0,0,
41,0,0,1,1,0.745208679,0,0,0,0,0,0,0,0,0,0,0,0.616575849,0.730164895,0,0,0,0,0,0,
42,0,1,0,0,0.838125433,0.730391077,0.568527659,0.350379306,0,1,0.919414219,0,0,0.916904007,0.732903852,0.761336304,0.863939708,0.821205906,0,0.000976684,0.335250224,0.043853431,0.032634406,0,
43,0,1,0,0,0.734595723,0,0.275682089,0,0,0,0,0,0,0,0.130506966,0.421831084,0.656190057,0.719766186,0,0,0,0,0,0,
44,0,1,0,0,0,0,0,0,0,0.828890955,0.831468499,0,0,0.631940493,0,0,0.755993731,0,0,0,0.593754197,0.006085698,0,0,
45,0.803128635,0,1,0,0.887662242,0.913380981,0,0,0,0,0.586239166,0.872136129,0,0.865532361,0,0,0.664460033,0.887341421,0.477081119,0.371009564,0.0612162,0.851703681,0,0,
46,0.851077098,0,1,0,0,0.741434658,0,0,0,0.781211561,0.738094389,0.784024896,0,0.896074336,0,0,0.761596895,0.730809594,0.170221032,0.007400231,0.118479186,0.216954328,0,0,
47,0.938293049,0,0,0,0.864695691,0.888575535,0.660469924,0.834176091,0.534606102,0.880230411,0.780945594,0.899210813,0,0.944104411,0.982901757,0.904120436,0.832172385,0.88202984,0.185095949,0.012364957,0.064355155,0.115099594,0.191862002,0.043165468,
48,0.767921632,0,0,0,0.766887397,0.808499862,0,0,0,0.946034047,0.67431982,0.782539444,0,0.870132108,0,0,0.802242559,0.780617995,0.021438727,0.007996809,0.01997345,0.071407319,0,0,
