,bonus,exercised_stock_options,expenses,from_messages,from_poi_to_this_person,from_this_person_to_poi,long_term_incentive,other,restricted_stock,salary,shared_receipt_with_poi,to_messages,total_payments,total_stock_value,bonus_ratio,expenses_ratio,other_ratio,salary_ratio,to_poi_ratio,from_poi_ratio
0,4.0,4.0,3.0,2.0,3.0,3.0,4.0,3.0,4.0,4.0,3.0,3.0,2.0,4.0,4.0,4.0,4.0,4.0,3.0,3.0
1,4.0,4.0,3.0,3.0,3.0,4.0,4.0,3.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,2.0,3.0,3.0,3.0,4.0
2,2.0,3.0,3.0,3.0,3.0,3.0,1.0,4.0,4.0,3.0,2.0,2.0,4.0,4.0,2.0,2.0,4.0,3.0,4.0,4.0
3,4.0,1.0,4.0,1.0,1.0,1.0,4.0,4.0,4.0,3.0,1.0,1.0,4.0,3.0,2.0,3.0,4.0,2.0,1.0,1.0
4,4.0,1.0,3.0,3.0,4.0,3.0,3.0,2.0,2.0,3.0,4.0,3.0,3.0,1.0,4.0,3.0,2.0,3.0,4.0,3.0
5,1.0,4.0,4.0,1.0,1.0,1.0,1.0,3.0,1.0,1.0,1.0,1.0,2.0,4.0,1.0,4.0,3.0,1.0,1.0,1.0
6,1.0,4.0,3.0,1.0,1.0,1.0,1.0,3.0,4.0,2.0,1.0,1.0,2.0,4.0,1.0,4.0,4.0,4.0,1.0,1.0
7,4.0,1.0,2.0,3.0,4.0,3.0,1.0,3.0,3.0,3.0,3.0,3.0,3.0,2.0,4.0,2.0,3.0,3.0,4.0,4.0
8,4.0,4.0,4.0,3.0,4.0,3.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,2.0,2.0,3.0,2.0,3.0,4.0
9,3.0,2.0,4.0,2.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,2.0,3.0,4.0,3.0,3.0,4.0,4.0
10,3.0,3.0,4.0,3.0,3.0,3.0,3.0,3.0,4.0,4.0,4.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0
11,3.0,4.0,3.0,3.0,3.0,4.0,1.0,3.0,2.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,4.0
12,4.0,1.0,3.0,1.0,1.0,1.0,4.0,3.0,4.0,4.0,1.0,1.0,4.0,3.0,3.0,3.0,3.0,3.0,1.0,1.0
13,3.0,2.0,1.0,1.0,1.0,1.0,3.0,4.0,3.0,3.0,1.0,1.0,4.0,2.0,2.0,1.0,4.0,3.0,1.0,1.0
14,4.0,4.0,2.0,4.0,3.0,4.0,3.0,2.0,2.0,2.0,3.0,4.0,4.0,3.0,4.0,2.0,2.0,2.0,3.0,3.0
15,4.0,3.0,4.0,2.0,3.0,3.0,4.0,2.0,2.0,3.0,4.0,3.0,4.0,3.0,3.0,3.0,2.0,3.0,3.0,3.0
16,3.0,2.0,3.0,1.0,1.0,1.0,1.0,3.0,2.0,2.0,1.0,1.0,2.0,2.0,3.0,3.0,3.0,3.0,1.0,1.0
17,1.0,2.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
18,2.0,1.0,3.0,1.0,1.0,1.0,3.0,2.0,2.0,2.0,1.0,1.0,2.0,1.0,3.0,3.0,3.0,3.0,1.0,1.0
19,4.0,1.0,1.0,3.0,3.0,3.0,4.0,3.0,2.0,3.0,4.0,4.0,4.0,2.0,3.0,1.0,3.0,3.0,3.0,3.0
20,1.0,4.0,3.0,3.0,2.0,2.0,3.0,4.0,3.0,3.0,2.0,2.0,2.0,4.0,1.0,3.0,4.0,3.0,2.0,2.0
21,1.0,4.0,2.0,1.0,1.0,1.0,3.0,2.0,4.0,2.0,1.0,1.0,2.0,4.0,1.0,3.0,2.0,4.0,1.0,1.0
22,3.0,3.0,2.0,3.0,2.0,2.0,3.0,3.0,2.0,3.0,2.0,3.0,3.0,3.0,3.0,2.0,3.0,3.0,2.0,2.0
23,1.0,3.0,1.0,2.0,3.0,3.0,1.0,1.0,4.0,1.0,3.0,3.0,1.0,3.0,1.0,1.0,1.0,1.0,4.0,3.0
24,1.0,3.0,1.0,2.0,2.0,2.0,1.0,1.0,3.0,1.0,2.0,3.0,1.0,3.0,1.0,1.0,1.0,1.0,3.0,2.0
25,1.0,4.0,1.0,1.0,1.0,1.0,1.0,1.0,2.0,1.0,1.0,1.0,1.0,3.0,1.0,1.0,1.0,1.0,1.0,1.0
26,4.0,2.0,2.0,4.0,4.0,4.0,1.0,3.0,3.0,3.0,4.0,4.0,4.0,2.0,4.0,2.0,3.0,2.0,3.0,3.0
27,1.0,1.0,1.0,3.0,2.0,2.0,1.0,1.0,1.0,1.0,2.0,3.0,1.0,1.0,1.0,1.0,1.0,1.0,2.0,2.0
28,2.0,1.0,3.0,2.0,2.0,3.0,1.0,2.0,1.0,3.0,2.0,2.0,2.0,1.0,2.0,4.0,3.0,4.0,4.0,3.0
29,2.0,3.0,4.0,4.0,3.0,4.0,3.0,3.0,2.0,3.0,3.0,4.0,3.0,3.0,3.0,3.0,3.0,4.0,3.0,3.0
30,1.0,2.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
31,2.0,1.0,3.0,3.0,2.0,2.0,3.0,4.0,3.0,2.0,3.0,2.0,2.0,2.0,3.0,4.0,4.0,4.0,3.0,2.0
32,3.0,3.0,3.0,2.0,4.0,3.0,4.0,3.0,2.0,3.0,3.0,3.0,4.0,3.0,3.0,2.0,3.0,2.0,4.0,4.0
33,4.0,4.0,3.0,4.0,4.0,4.0,4.0,3.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,2.0,2.0,2.0,4.0,3.0
34,3.0,2.0,3.0,3.0,4.0,3.0,3.0,3.0,2.0,2.0,3.0,3.0,3.0,1.0,3.0,3.0,3.0,3.0,4.0,3.0
35,1.0,1.0,4.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,2.0,1.0,1.0,4.0,1.0,1.0,1.0,1.0
36,3.0,3.0,2.0,3.0,4.0,3.0,4.0,2.0,2.0,3.0,3.0,3.0,3.0,3.0,3.0,2.0,2.0,3.0,4.0,3.0
37,1.0,4.0,2.0,4.0,4.0,4.0,1.0,1.0,3.0,2.0,3.0,3.0,2.0,4.0,1.0,4.0,1.0,4.0,4.0,3.0
38,1.0,1.0,3.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,4.0,1.0,1.0,1.0,1.0
39,1.0,1.0,1.0,4.0,3.0,4.0,1.0,1.0,2.0,1.0,3.0,3.0,1.0,2.0,1.0,1.0,1.0,1.0,3.0,3.0
40,1.0,3.0,1.0,1.0,1.0,1.0,3.0,2.0,1.0,2.0,1.0,1.0,2.0,3.0,1.0,1.0,3.0,2.0,1.0,1.0
41,1.0,2.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,2.0,2.0,1.0,1.0,1.0,1.0,1.0,1.0
42,1.0,4.0,2.0,4.0,2.0,2.0,4.0,4.0,1.0,4.0,3.0,3.0,4.0,3.0,1.0,2.0,4.0,2.0,2.0,2.0
43,1.0,2.0,1.0,2.0,2.0,2.0,1.0,1.0,1.0,1.0,2.0,2.0,2.0,2.0,1.0,1.0,1.0,1.0,2.0,2.0
44,1.0,1.0,1.0,1.0,1.0,1.0,3.0,4.0,1.0,2.0,1.0,1.0,3.0,1.0,1.0,1.0,4.0,2.0,1.0,1.0
